"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","246859","Create PO via UI, approve, create linked bill, verify in vendor profile","Purchases","2026-04-16","passed","2026-04-16","Purchase to Bill Flow @smoke","purchase/purchase-bill-ui-flow.spec.ts","",""
"","38490","Stage 2: Reverse invoice, verify stock restoration @regression","Sales","2026-04-16","passed","2026-04-16","Invoice Reversal Flow @regression","sales/sales-invoice-reversal.spec.ts","",""
"","9315","State Violation: Block Invoicing a DRAFT SO","Sales","2026-04-16","passed","2026-04-16","Sales Order Negative API Tests @negative","sales/sales-negative-api.spec.ts","",""
"","130354","Stage 1: Setup via API (SO & Invoice), verify stock deduction @smoke","Sales","2026-04-16","passed","2026-04-16","Invoice Reversal Flow @regression","sales/sales-invoice-reversal.spec.ts","",""
"","9640","Block Receipt: Missing Cash Account","Sales","2026-04-16","passed","2026-04-16","Sales Order Negative API Tests @negative","sales/sales-negative-api.spec.ts","",""
"","119248","Inventory Impact Verify @smoke","Sales","2026-04-16","passed","2026-04-16","Sales Impact Flow @regression","sales/sales-inventory-impact.spec.ts","",""
"","91354","Stage 2: Reverse bill, verify stock restoration","Purchases","2026-04-16","passed","2026-04-16","Bill Impact Flow @regression","purchase/bill-impact.spec.ts","",""
"","94295","Create Invoice, Approve, then Create Credit Note and Verify Stock","Sales","2026-04-16","passed","2026-04-16","Sales — Credit Note (Return Flow) @regression","sales/credit-note.spec.ts","",""
"","8494","Boundary: Block Extreme Financial Inputs (Purchase)","Purchases","2026-04-16","passed","2026-04-16","Purchase Negative API Tests @negative","purchase/purchase-negative-api.spec.ts","",""
"","6852","Block Payment: Missing Cash Account","Purchases","2026-04-16","passed","2026-04-16","Purchase Negative API Tests @negative","purchase/purchase-negative-api.spec.ts","",""
"","152574","Create Bill via API, Approve via UI, Pay via API then Verify","Purchases","2026-04-16","passed","2026-04-16","Bill-to-Payment API Flow @regression","purchase/purchase-bill-payment-api.spec.ts","",""
"","7956","Block Creation: Missing Customer ID","Sales","2026-04-16","passed","2026-04-16","Sales Order Negative API Tests @negative","sales/sales-negative-api.spec.ts","",""
"","9093","State Violation: Block Billing a DRAFT PO","Purchases","2026-04-16","passed","2026-04-16","Purchase Negative API Tests @negative","purchase/purchase-negative-api.spec.ts","",""
"","27948","Create Inventory Adjustment (Write-down), approve, verify stock deduction","Inventory","2026-04-16","passed","2026-04-16","Inventory Adjustment Flow @regression","inventory/inventory-adjustment.spec.ts","",""
"","30506","Validate TIN, create customer, edit, remove","Sales","2026-04-16","passed","2026-04-16","Customer Lifecycle — Validation & CRUD @smoke","sales/customer.spec.ts","",""
"","209802","Verify duplicate invoice creation allowed, duplicate receipt blocked","Sales","2026-04-16","failed","2026-04-16","Accounting Logic Flow @regression","sales/accounting-logic.spec.ts","",""
"","153845","Stage 2: Reverse receipt, verify GL offsets","Sales","2026-04-16","passed","2026-04-16","Receipt Reversal — GL Ledger Impact @regression","sales/sales-receipt-reversal.spec.ts","",""
"","146621","Verify partial receipt correctly updates invoice amount due","Sales","2026-04-16","passed","2026-04-16","Invoice-Receipt Balance Flow @regression","sales/invoice-receipt-balance.spec.ts","",""
